Filename,Speaker,Gender,Word,Word_beg,Word_end,Word_dur_ms,SyllPos,SyllStr,SyllIPA,Stress,Begin,End,Duration_in_ms,Max_dB,Min_dB,Mean_dB,Centre_mean_dB,MaxF0Hz,MinF0Hz,MeanF0,Centre_MeanF0,Language,SuffixCase,WordForm,LatinScript,Gloss,WordClass,StressedSyll,NounGender,Declension,StressShift,ShiftDirect,AttestedInCS,HasPause,HasGeminates,NormDur,NormInt,NormF0,NormMax_dB,NormMin_dB,NormMaxFOHz,NormMinFOHz,SyllType
Speaker_3_male_additional,Speaker_3,male,страна,211.04731699048745,211.58229094097905,534.9739504916045,s2,cv,na,stressed,211.36201955940007,211.58229094097905,220.27138157892523,64.19331607436001,56.0577681819466,61.54662225462176,63.05447417236135,99.43097902686364,78.19897397554705,87.8857073412708,86.63227315524674,CS,NA,uninflected,strana,country,Noun,2,f,1,yes,backward,yes,,,-0.23251808459341086,-0.8916626556138589,-1.2038960449807874,-1.86667236414517,0.08412825137437513,-1.1491748304747182,-1.1863301228592902,non_heavy
Speaker_3_male_additional,Speaker_3,male,лошадь,214.79653211575084,215.4027340943012,606.2019785503026,s1,cv,lo,stressed,214.79653211575084,214.99311217006195,196.5800543111129,65.03397990357207,62.32758305416312,63.67668486033957,63.71920018878663,94.26792383240824,81.66110655694217,87.4938885565478,85.3454087610262,CS,NA,uninflected,loshad',horse,Noun,1,f,3,yes,forward,no,,,-0.5447509974579854,-0.5266208681432978,-1.2107275055749436,-1.69939729704684,0.7510726423742374,-1.226396762180181,-1.120930393622221,non_heavy
Speaker_3_male_additional,Speaker_3,male,лошадь,214.79653211575084,215.4027340943012,606.2019785503026,s2,cvc,ʃʌtʲ,unstressed,214.99311217006195,215.4027340943012,409.6219242391896,67.31182125071082,44.24094457558725,54.02262759244937,53.059308915278166,233.4572164037248,93.67477630901081,163.34468999148123,98.1892348551092,CS,NA,uninflected,loshad',horse,Noun,1,f,3,yes,forward,no,NA,NA,2.2629719662162877,-2.181095394832715,0.11175059205949929,-1.2461530263386402,-1.172872853812956,0.8554066740133048,-0.893992016637175,heavy
Speaker_3_male_additional,Speaker_3,male,сөре,218.57163012626827,219.11627806703524,544.6479407669642,s1,cv,sɵ,NA,218.57163012626827,218.82930048452053,257.6703582522555,67.03451598618098,48.744019229255926,56.65715748412515,54.06349574509044,102.72574715517835,81.73190604389664,84.83980611266303,82.85057419367457,Kaz,NA,uninflected,sóre,shelf,Noun,NA,NA,NA,NA,NA,NA,NA,NA,0.26037078114494394,-1.729599979524082,-1.2570021109179688,-1.3013311547641568,-0.6938634342802488,-1.0998961863759134,-1.1195929903980268,non_heavy
Speaker_3_male_additional,Speaker_3,male,сөре,218.57163012626827,219.11627806703524,544.6479407669642,s2,cv,rie,NA,218.82930048452053,219.11627806703524,286.9775825147088,67.8663511190637,45.248622283773,59.2752371972384,62.513900116245615,107.57993599256262,81.6487673058258,96.14083759768536,97.52955759576423,Kaz,NA,uninflected,sóre,shelf,Noun,NA,NA,NA,NA,NA,NA,NA,NA,0.6466167645801346,-1.2809237313941784,-1.0599657403472535,-1.135812819333783,-1.0656822893214573,-1.0272938560176288,-1.1211634822353884,non_heavy
Speaker_3_male_additional,Speaker_3,male,бөлме,222.4685627202403,222.97311739540547,504.5546751651671,s1,cvc,bɵl,NA,222.4685627202403,222.72956258205937,260.999861819073,65.76964181422696,57.21500682166469,61.68737745422231,62.74230249080529,99.9048095629929,77.7546723080073,84.59543639103909,81.39417476467192,Kaz,NA,uninflected,bólme,room,Noun,NA,NA,NA,NA,NA,NA,NA,NA,0.30425099880049156,-0.8675405807414893,-1.261262759433989,-1.553015484019603,0.2072281890182175,-1.1420879201236087,-1.1947229871051097,heavy
Speaker_3_male_additional,Speaker_3,male,бөлме,222.4685627202403,222.97311739540547,504.5546751651671,s2,cv,mie,NA,222.72956258205937,222.97311739540547,243.55481334609408,63.80746944034976,54.00077918540758,60.83713422958942,62.53251129734672,109.53481543130529,77.99557113832495,91.26906952486915,90.40961140725884,Kaz,NA,uninflected,bólme,room,Noun,NA,NA,NA,NA,NA,NA,NA,NA,0.07433908891850598,-1.0132519347982079,-1.1449062610954883,-1.9434480256533184,-0.1346816021141916,-0.9980554379055941,-1.1901724050849514,non_heavy
Speaker_3_male_additional,Speaker_3,male,сила,226.4338472733492,226.97488546610663,541.0381927574122,s1,cv,sʲi,stressed,226.4338472733492,226.693288529429,259.4412560797821,65.7788694331164,43.45540289584765,55.61060782183666,54.97791724682792,93.46076442137604,89.9529673855731,91.86134047369423,91.22316737130183,CS,NA,uninflected,sila,strength,Noun,1,f,1,no,na,yes,,,0.2837098106903846,-1.9089535620774742,-1.1345798658185942,-1.551179374845814,-1.256433952167001,-1.2384691508273307,-0.9642970353337293,non_heavy
Speaker_3_male_additional,Speaker_3,male,сила,226.4338472733492,226.97488546610663,541.0381927574122,s2,cv,la,unstressed,226.693288529429,226.97488546610663,281.5969366776301,64.8190073975775,50.73622924602222,60.47410088877831,62.14963879751463,91.94637688726009,87.54514882193617,89.31163652808618,88.68935787146029,CS,NA,uninflected,sila,strength,Noun,1,f,1,no,na,yes,NA,NA,0.5757041177785245,-1.075467167010332,-1.1790346053827012,-1.7421724696128393,-0.4819443707264157,-1.261119292328954,-1.0097807591402823,non_heavy
Speaker_3_male_additional,Speaker_3,male,аспан,230.44831762148567,230.9254123292893,477.0947078036159,s1,vc,ɑs,NA,230.44831762148567,230.6612030966559,212.8854751702249,63.81340644152535,39.01758638013008,55.507957968783394,59.26584154512781,78.94021836836711,76.3961718512094,78.0932777397834,78.0932777397834,Kaz,NA,uninflected,aspan,sky,Noun,NA,NA,NA,NA,NA,NA,NA,NA,-0.3298584761242302,-1.9265452918893435,-1.3746295563689737,-1.9422666827246708,-1.7285016118613985,-1.4556476572348642,-1.2203850783030197,non_heavy
Speaker_3_male_additional,Speaker_3,male,аспан,230.44831762148567,230.9254123292893,477.0947078036159,s2,cvc,pɑn,NA,230.6612030966559,230.9254123292893,264.20923263341933,65.7955673159455,48.48172551483888,59.07679610542256,63.44676342665456,99.8064567673923,80.97590314302836,92.19094647541498,88.48604760525687,Kaz,NA,uninflected,aspan,sky,Noun,NA,NA,NA,NA,NA,NA,NA,NA,0.3465479620097819,-1.3149317885609544,-1.1288331009871313,-1.547856834522821,-0.7217646283649677,-1.143558946982486,-1.1338738949725422,heavy
Speaker_3_male_additional,Speaker_3,male,пайда,234.57677843433635,235.0172738044928,440.49537015638407,s1,cvc,pɑj,NA,234.57677843433635,234.73536031907884,158.5818847424889,68.35597660118819,56.18654256848355,65.86009993062056,67.93101255707087,85.2037245401718,80.50846732139911,81.75208000767975,81.7767022135327,Kaz,NA,uninflected,paida,benefit,Noun,NA,NA,NA,NA,NA,NA,TRUE,,-1.045536750565732,-0.15243574423848152,-1.3108374042581106,-1.0383872699888181,0.09782647956064165,-1.3619666819946092,-1.1427037636882982,heavy
Speaker_3_male_additional,Speaker_3,male,пайда,234.57677843433635,235.0172738044928,440.49537015638407,s2,cv,dɑ,NA,234.73536031907884,235.0172738044928,281.9134854138952,67.78099728846833,48.22253930733175,60.935502020018376,65.02349639631699,100.19292649959212,66.94507551671781,88.51092495255864,91.44153526958958,Kaz,NA,uninflected,paida,benefit,Noun,NA,NA,NA,NA,NA,NA,NA,NA,0.5798759791888367,-0.9963940481091844,-1.192995216228269,-1.1527965020423891,-0.7493352649538426,-1.1377786602835926,-1.3989164102891951,non_heavy
Speaker_3_male_additional,Speaker_3,male,сұрақ,238.3912647615328,238.83036077579456,439.096014261736,s1,cv,sʊ,NA,238.3912647615328,238.5774603188136,186.1955572807404,62.72360985021746,50.3174770115685,55.297043068132666,53.32808459383868,102.2012467787681,102.14665076973165,102.18382923300241,--undefined--,Kaz,NA,uninflected,suraq,question,Noun,NA,NA,NA,NA,NA,NA,NA,NA,-0.6816104363477564,-1.962691061563457,-0.9546046376204692,-2.159114121141786,-0.5264886610570861,-1.1077409470304456,-0.7339581985104533,non_heavy
Speaker_3_male_additional,Speaker_3,male,сұрақ,238.3912647615328,238.83036077579456,439.096014261736,s2,cvc,rɑq,NA,238.5774603188136,238.83036077579456,252.9004569809956,67.31564033407244,46.228935733880405,58.42920508762568,60.55136311799855,91.95912160179513,81.59020567147574,88.3868797953819,88.90098815055777,Kaz,NA,uninflected,suraq,question,Noun,NA,NA,NA,NA,NA,NA,NA,NA,0.19750726357303755,-1.4259134010505967,-1.1951579752285755,-1.245393106138234,-0.9614025665072943,-1.260928674286271,-1.1222697122656176,heavy
