file,time,word,vowel,stress,duration,F1,F2,F3,syllables,Language,WordForm,LatinScript,Gloss,VowelHeight,VowelBackness,Norm_F1,Norm_F2,Speaker,Gender
Speaker_3_male,104.8935311749886,шешімге,ie,NA,0.1256926461022232,410.6725642437642,1707.359914107653,2226.721581911322,s3,Kaz,inflected,sheshimge,solution.DAT,high,front,-0.44849111286842414,0.9210964329878848,Speaker_3,male
Speaker_4_female,513.1846833815267,шешімге,ie,NA,0.07509251644728465,448.12126214566376,2308.516728048459,2983.48745669188,s1,Kaz,inflected,sheshimge,solution.DAT,high,front,-0.7080119771118101,1.3123629349979224,Speaker_4,female
Speaker_4_female,513.3649054210005,шешімге,ɪ,NA,0.04004934210536248,348.2518152641838,1929.141127044002,2816.1373968251723,s2,Kaz,inflected,sheshimge,solution.DAT,high,front,-1.1871403630016715,0.4783099211910591,Speaker_4,female
Speaker_4_female,513.5640964079034,шешімге,ie,NA,0.09801190801647408,442.272089257636,2257.9203717070595,3027.975750549215,s3,Kaz,inflected,sheshimge,solution.DAT,high,front,-0.7360736601604541,1.2011274117263708,Speaker_4,female
Speaker_1_male_additional,180.3459144067755,ыдыс,ə,NA,0.05522845189705094,357.2309237416835,1354.270447438604,2902.200656738463,s1,Kaz,uninflected,ydys,dishes,non-high,back,-0.7139341873200238,-0.3013731294473383,Speaker_1,male
Speaker_1_male_additional,180.521677970427,ыдыс,ə,NA,0.08135111583999333,385.19827484166177,1465.3668284627802,2747.93765517546,s2,Kaz,uninflected,ydys,dishes,non-high,back,-0.4770069821971683,-0.04603702599985305,Speaker_1,male
Speaker_2_female_additional,101.9505418746829,ыдыс,ə,NA,0.10626032869653557,555.773479393044,1081.7209147552942,3061.650012943892,s1,Kaz,uninflected,ydys,dishes,non-high,back,0.06650413356120176,-0.5822637521284304,Speaker_2,female
Speaker_2_female_additional,102.14988035204392,ыдыс,ə,NA,0.08965715233770766,510.23342202837335,1397.5428548350585,2992.340121758318,s2,Kaz,uninflected,ydys,dishes,non-high,back,-0.25680375844032083,-3.3582198285961047e-4,Speaker_2,female
Speaker_3_male_additional,126.11030574401784,ыдыс,ə,NA,0.0679668186736535,508.1833842619629,1008.534832651706,2391.632033251815,s1,Kaz,uninflected,ydys,dishes,non-high,back,0.37579354218225514,-1.1194255509236861,Speaker_3,male
Speaker_3_male_additional,126.25817946996652,ыдыс,ə,NA,0.07258943256579187,432.6375858068584,1188.6362927949858,2511.1278185349206,s2,Kaz,uninflected,ydys,dishes,non-high,back,-0.2678243977720794,-0.617926672440795,Speaker_3,male
Speaker_4_female_additional,46.51486162651512,ыдыс,ə,NA,0.13188379963624186,721.7851754879586,1349.596429492239,3310.0016729682293,s1,Kaz,uninflected,ydys,dishes,non-high,back,0.5431702478749596,-0.9528236812426393,Speaker_4,female
Speaker_4_female_additional,46.71847313982009,ыдыс,ə,NA,0.10763260690789168,491.22362290554486,1672.6052432463675,3268.3888272982263,s2,Kaz,uninflected,ydys,dishes,non-high,back,-0.6394378434298562,-0.2484446050152971,Speaker_4,female
Speaker_1_male,291.4357147728614,ыдысты,ə,NA,0.09348686549139984,503.6380628965475,1365.5880264682526,2513.1910887055255,s1,Kaz,inflected,ydysty,dishes.ACC,non-high,back,0.188596502515356,-0.25275089034154896,Speaker_1,male
Speaker_1_male,291.59809021039996,ыдысты,ə,NA,0.04429027860294354,390.7701324761681,1412.4120643808592,2676.9301600021204,s2,Kaz,inflected,ydysty,dishes.ACC,non-high,back,-0.5687750781702798,-0.13516248979230636,Speaker_1,male
